date,head,category,vendor,vendor_kind,line_item,amount,direction,flat_code,source_ref
2025-10-01,reference,Contingency Rate Reference,Rate Card,company,Contingency Per Sqft x100,25,C,,
2025-11-01,reference,Contingency Rate Reference,Rate Card,company,Contingency Per Sqft x100,25,C,,
2026-01-01,reference,Contingency Rate Reference,Rate Card,company,Contingency Per Sqft x100,25,C,,
2026-02-01,reference,Contingency Rate Reference,Rate Card,company,Contingency Per Sqft x100,25,C,,
2026-03-01,reference,Contingency Rate Reference,Rate Card,company,Contingency Per Sqft x100,25,C,,
2026-04-01,reference,Contingency Rate Reference,Rate Card,company,Contingency Per Sqft x100,25,C,,
2026-05-01,reference,Contingency Rate Reference,Rate Card,company,Contingency Per Sqft x100,25,C,,
2026-06-01,reference,Contingency Rate Reference,Rate Card,company,Contingency Per Sqft x100,25,C,,
2026-07-01,reference,Contingency Rate Reference,Rate Card,company,Contingency Per Sqft x100,25,C,,
